Date	DESCRIPTION	Payee	Categorize or match	SPENT	RECEIVED
01/12/2024	PAYCHEX EIB DES:INVOICE ID:X0560 PAYCHEX EIB DES:INVOICE ID:X05603100009751 INDN:COUR THAI GROUP CORPOR CO ID:1161124166 CCD		9000 Other Income	$349.44	
01/12/2024	Check 2158		Uncategorized Expense	$210.00	
01/12/2024	Check 2154		Uncategorized Expense	$197.72	
01/12/2024	GRUBHUB INC DES:Jan Actvty ID:24 GRUBHUB INC DES:Jan Actvty ID:24011210X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		49900 Uncategorized Income		$475.61
01/12/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$2,345.53
01/12/2024	DoorDash, Inc. DES:Disabled A ID DoorDash, Inc. DES:Disabled A ID:ST-V9V9H8V9C5L5 INDN:COUR THAI LLC CO ID:4270465600 CCD		49900 Uncategorized Income		$2,351.99
01/16/2024	SETOYOTA FIN/EZP DES:AUTO FINAN SETOYOTA FIN/EZP DES:AUTO FINAN ID:0500172 INDN:CHONG LAI F CO ID:0000007041 TEL		Uncategorized Expense	$723.88	
01/16/2024	IRS DES:USATAXPYMT ID:2224416434 IRS DES:USATAXPYMT ID:222441643499585 INDN:LAI F CHONG CO ID:3387702000 WEB		8580 NJ CBT Tax	$9,501.00	
01/16/2024	Check 2163		Uncategorized Expense	$2,237.15	
01/16/2024	Check 2160		Uncategorized Expense	$2,304.50	
01/16/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$2,443.45
01/16/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$4,898.59
01/16/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$5,787.47
01/17/2024	NJ WEB PMT 01200 DES:NJWEB01200 NJ WEB PMT 01200 DES:NJWEB01200 ID:091000016602077 INDN:CHONG LAI F CO ID:7216000928 CCD PMT INFO:TXP*I106763619000*0120		Utilities:Gas and Electric	$1,701.00	
01/17/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$1,507.80
01/18/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$2,638.92
01/19/2024	GRUBHUB INC DES:Jan Actvty ID:24 GRUBHUB INC DES:Jan Actvty ID:24011917X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		49900 Uncategorized Income		$929.77
01/19/2024	DoorDash, Inc. DES:Disabled A ID DoorDash, Inc. DES:Disabled A ID:ST-B0E2J0Z9D1P6 INDN:COUR THAI LLC CO ID:4270465600 CCD		49900 Uncategorized Income		$2,242.60
01/19/2024	MERCHANT BNKCD DES:DEPOSIT ID:26 MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD	206 Farmers Market	8310 Moving Expense		$2,384.94
