Date	Ref No.	Payee	Memo	Payment	Deposit	Reconciliation Status	Balance	Type	Account	Added in Banking
11/01/2024			PAYCHEX TPS DES:TAXES ID:0943070 PAYCHEX TPS DES:TAXES ID:09430700005573X INDN:COUR THAI GROUP CORPOR CO ID:1161124166 CCD	2,193.55		Cleared	116,603.77	Expense	9000 Other Income	Manually added
11/01/2024		COUNTER CREDIT	DoorDash, Inc. DES:Disabled A ID DoorDash, Inc. DES:Disabled A ID:ST-V1F2O1T8S8V6 INDN:COUR THAI LLC CO ID:4270465600 CCD		2,735.73	Cleared	118,797.32	Deposit	49900 Uncategorized Income	Manually added
11/01/2024		99 RANCH	GRUBHUB INC DES:Oct Actvty ID:24 GRUBHUB INC DES:Oct Actvty ID:24110130X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		279.21	Cleared	116,061.59	Deposit	7720 Car  Lease Expense	Manually added
10/31/2024	5734	EXXON MOBIL	Check 5734	807.88		Cleared	115,782.38	Expense	4240 Auto loan	Manually added with rule
10/11/2024		GRUBHUB	GRUBHUB INC DES:Oct Actvty ID:24 GRUBHUB INC DES:Oct Actvty ID:24101109X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		508.16	Cleared	116,590.26	Deposit	Income:GRUBHUB	Manually added
04/22/2024		NJ S&U WEB PMT	NJ S&U WEB PMT DES:NJWEB55 I NJ S&U WEB PMT DES:NJWEB55 ID:091000018185134 INDN:COUR THAI GROUP CORPOR CO ID:7216000928 CCD PMT INFO:TXP*B8439605	5,949.73		Cleared	116,082.10	Expense	Uncategorized Expense	Manually added
01/22/2024		NJ S&U WEB PMT	NJ S&U WEB PMT DES:NJWEB55 I NJ S&U WEB PMT DES:NJWEB55 ID:091000016682713 INDN:COUR THAI GROUP CORPOR CO ID:7216000928 CCD PMT INFO:TXP*B8439605	6,150.86		Cleared	122,031.83	Expense	Payroll Taxes:Sales Taxes	Manually added
01/12/2024		PAYCHEX EIB INVOICE	PAYCHEX EIB DES:INVOICE ID:X05603100009751 INDN:COUR THAI GROUP CORPOR CO ID:1161124166 CCD	349.44		Cleared	128,182.69	Check	8460 Payroll Processing Fees	
01/12/2024	2158	CHECK		210.00		Cleared	128,532.13	Check	9999 Asked my accountants	
01/12/2024	2154	CHECK		197.72		Cleared	128,742.13	Check	9999 Asked my accountants	
01/12/2024			DoorDash, Inc. DES:Disabled A ID:ST-V9V9H8V9C5L5 INDN:COUR THAI LLC CO ID:4270465600 CCD		2,351.99	Cleared	128,939.85	Deposit	Income:DoorDash	
01/12/2024			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,345.53	Cleared	126,587.86	Deposit	Income:CREDIT CARD	
01/12/2024			GRUBHUB INC DES:Jan Actvty ID:24011210X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		475.61	Cleared	124,242.33	Deposit	Income:GRUBHUB	
01/11/2024		TOYOTA FINANCE	SETOYOTA FIN/EZP DES:AUTO FINAN ID:9029746 INDN:CHONG LAI F CO ID:0000007041 WEB	723.88		Cleared	123,766.72	Check	7720 Car  Lease Expense	
01/11/2024		PAYCHEX TPS TAXES	PAYCHEX TPS DES:TAXES ID:05594100018556X INDN:COUR THAI GROUP CORPOR CO ID:1161124166 CCD	1,833.41		Cleared	124,490.60	Check	3140 Payroll Taxes Liabilities	
01/11/2024	2149	CHECK		827.46		Cleared	126,324.01	Check	9999 Asked my accountants	
01/11/2024			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,328.88	Cleared	127,151.47	Deposit	Income:CREDIT CARD	
01/10/2024	2156	CHECK		1,431.81		Cleared	124,822.59	Check	9999 Asked my accountants	
01/10/2024	2155	SEA PRIVATE SEAFOOD		436.30		Cleared	126,254.40	Check	3100 A/P	
01/10/2024	2151	DA THAISON		2,124.50		Cleared	126,690.70	Check	3100 A/P	
01/10/2024			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		1,389.49	Cleared	128,815.20	Deposit	Income:CREDIT CARD	
01/09/2024	2159	CHECK		276.36		Cleared	127,425.71	Check	9999 Asked my accountants	
01/09/2024	2153	CHECK		250.47		Cleared	127,702.07	Check	9999 Asked my accountants	
01/09/2024	2152	Levin Management		13,553.54		Cleared	127,952.54	Check	9999 Asked my accountants	
01/09/2024	2150	KAM KEU MARKET		1,926.20		Cleared	141,506.08	Check	3100 A/P	
01/09/2024	2110	CHECK		506.66		Cleared	143,432.28	Check	9999 Asked my accountants	
01/09/2024			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		1,785.40	Cleared	143,938.94	Deposit	Income:CREDIT CARD	
01/08/2024	5604	CHECK		608.15		Cleared	142,153.54	Check	9999 Asked my accountants	
01/08/2024	5597	CHECK		511.95		Cleared	142,761.69	Check	9999 Asked my accountants	
01/08/2024	5590	CHECK		736.64		Cleared	143,273.64	Check	9999 Asked my accountants	
01/08/2024	2157	C & S ASSOCIATES		1,706.00		Cleared	144,010.28	Check	9999 Asked my accountants	
01/08/2024			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		6,849.29	Cleared	145,716.28	Deposit	Income:CREDIT CARD	
01/08/2024			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		1,429.97	Cleared	138,866.99	Deposit	Income:CREDIT CARD	
01/05/2024	2148	CHECK		20,000.00		Cleared	137,437.02	Check	9999 Asked my accountants	
01/05/2024	2146	SEA PRIVATE SEAFOOD		614.30		Cleared	157,437.02	Check	3100 A/P	
01/05/2024	2145	OCEAN PLASTIC PACKAGING TRADING INC		1,011.00		Cleared	158,051.32	Check	3100 A/P	
01/05/2024			MERCHANT BNKCD DES:DEPOSIT ID:266371382885 INDN:THAI KITCHEN 2 CO ID:F592126793 CCD		2,059.35	Cleared	159,062.32	Deposit	Income:CREDIT CARD	
01/05/2024			DoorDash, Inc. DES:Disabled A ID:ST-K0G0W0M4A5S0 INDN:COUR THAI LLC CO ID:4270465600 CCD		1,996.94	Cleared	157,002.97	Deposit	Income:DoorDash	
01/05/2024			GRUBHUB INC DES:Dec Actvty ID:24010501X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		464.54	Cleared	155,006.03	Deposit	Income:GRUBHUB	
01/05/2024			GRUBHUB INC DES:Jan Actvty ID:24010503X8mcd2j INDN:COUR THAI GROUP CORPOR CO ID:1261328194 CCD		169.72	Cleared	154,541.49	Deposit	Income:GRUBHUB	
